benchmark,lexa,effekt,koka_named,koka,ocaml
countdown,461.0,58.0,3717.0,2050.0,2458.0
fibonacci_recursive,717.0,1653.0,1346.0,1345.0,1405.0
product_early,146.0,279.0,1628.0,1638.0,150.0
iterator,88.0,126.0,434.0,269.0,273.0
nqueens,429.0,144.0,2073.0,1945.0,860.0
generator,1679.0,1393.0,9461.0,9336.0,1084.0
tree_explore,251.0,297.0,295.0,285.0,173.0
triples,316.0,35.0,1818.0,2333.0,424.0
resume_nontail,164.0,115.0,1505.0,1432.0,266.0
parsing_dollars,352.0,117.0,3035.0,3168.0,1736.0
handler_sieve,562.0,3440.0,2176.0,2203.0,2819.0
resume_nontail_2,167.0,223.0,409260.0,407980.0,391.0
scheduler,280.0,1868466.0,,3007.0,466.0
interruptible_iterator,334.0,1167963.0,1032.0,,237350.0
