,platform,benchmark,n,time_mili
0,lexa,scheduler,0,1
1,lexa,scheduler,300,32
2,lexa,scheduler,600,64
3,lexa,scheduler,900,98
4,lexa,scheduler,1200,126
5,lexa,scheduler,1500,160
6,lexa,scheduler,1800,192
7,lexa,scheduler,2100,223
8,lexa,scheduler,2400,251
9,lexa,scheduler,2700,286
10,lexa,scheduler,3000,327
11,effekt,scheduler,0,13306
12,effekt,scheduler,300,66457
13,effekt,scheduler,600,127863
14,effekt,scheduler,900,217628
15,effekt,scheduler,1200,397372
16,effekt,scheduler,1500,534120
17,effekt,scheduler,1800,699589
18,effekt,scheduler,2100,861339
19,effekt,scheduler,2400,1163863
20,effekt,scheduler,2700,1657155
21,effekt,scheduler,3000,1974148
22,lexa,scheduler_notick,0,1
23,lexa,scheduler_notick,300,33
24,lexa,scheduler_notick,600,65
25,lexa,scheduler_notick,900,98
26,lexa,scheduler_notick,1200,126
27,lexa,scheduler_notick,1500,159
28,lexa,scheduler_notick,1800,189
29,lexa,scheduler_notick,2100,221
30,lexa,scheduler_notick,2400,250
31,lexa,scheduler_notick,2700,285
32,lexa,scheduler_notick,3000,329
33,effekt,scheduler_notick,0,115
34,effekt,scheduler_notick,300,6107
35,effekt,scheduler_notick,600,14368
36,effekt,scheduler_notick,900,24112
37,effekt,scheduler_notick,1200,33713
38,effekt,scheduler_notick,1500,41280
39,effekt,scheduler_notick,1800,53809
40,effekt,scheduler_notick,2100,55031
41,effekt,scheduler_notick,2400,63720
42,effekt,scheduler_notick,2700,66782
43,effekt,scheduler_notick,3000,67580
